Name;Population;Degree centrality;Betweenness centrality;Eigenvector centrality
Arelate;10.384;6;9894,743145;0,103319
Genava;3.590;3;2883,872196;0,018834
Massalia;9.063;7;7613,498537;0,147783
Narbo Martius;43.289;7;16822,58024;0,149356
Nemausus;41.539;2;0;0,052286
Tolosa;17.338;3;8616,23983;0,045345
Vienna;15.431;3;6405,713042;0,025733
Vienna;15.431;3;6456,131601;0,022618
Colonia Ulpia Traiana;14.596;2;1168,501709;0,019357
Argentoratum;8.848;3;4742,008692;0,024104
Augusta Raurica;6.368;3;2133,710758;0,020058
Aventicum;5.022;2;550,022296;0,013939
Mogontiacum;19.930;3;964,307156;0,026751
Vesontio;15.089;2;2235,470192;0,015004
Asturica;3.251;4;2989,815252;0,037465
Barcino;1.157;2;20;0,027498
Bilbilis;3.844;2;280,699442;0,018643
Bracara;4.471;3;101,903968;0,031214
Caesaraugusta;7.172;5;1732,41608;0,033823
Calagurris;1.700;2;109,692606;0,018643
Carthago Nova;9.498;6;3641,179462;0,129797
Castulo;5.782;2;700,1628;0,016342
Emporiae;2.922;2;145,467172;0,037412
Osca;1.843;2;1775,26299;0,018253
Palma;458;3;4140,130253;0,086623
Pompaelo;1.559;3;366,338967;0,024648
Saguntum;3.420;4;298,54513;0,051155
Sisapo;1.157;2;122,84221;0,017466
Tarraco;12.211;6;4724,698368;0,080117
Toletum;359;3;805,485743;0,022015
Capua;44.417;2;528,294913;0,013387
Casinum;907;2;120,253571;0,013054
Cumae;14.596;3;1678,405849;0,041281
Ferentinum;907;2;1250,538036;0,035104
Formiae;2.290;2;1542,968347;0,027379
Minturnae;4.471;3;1200,354966;0,022886
Misenum;1.422;2;0;0,035282
Neapolis (Italia (I Latium and Campania));15.086;3;653,728247;0,036576
Nuceria Alfaterna;23.429;2;52,733646;0,01652
Ostia;35.017;10;25687,39283;0,313887
Ostia;35.017;1;0;0,029801
Pompeii;9.938;2;52,733646;0,01652
Puteoli;25.091;6;4453,170617;0,123245
Salernum;3.420;3;799,739046;0,018711
Sinuessa;4.113;3;1129,930596;0,023458
Tarracina;5.782;4;2424,138742;0,099167
Teanum Sidicinum;17.084;3;1039,475058;0,022149
Aeclanum;2.290;2;1346,177259;0,015159
Ausculum;1.559;2;3809,081654;0,020413
Beneventum;19.667;4;1606,281407;0,026397
Brundisium;10.384;5;7711,949391;0,082465
Brundisium;10.384;3;942,884446;0,044097
Canusium;2.290;2;1210,309708;0,019395
Herdoniae;2.138;2;668,371613;0,013562
Salapia Nova;2.601;2;0;0,028124
Sipontum;1.843;5;793,433481;0,076492
Tarentum;30.243;4;2913,764487;0,042888
Venusia;6.567;2;1857,481624;0,017313
Locri;14.111;2;248,751117;0,016548
Regium;11.517;4;7784,525716;0,091791
Vibo Valentia;3.937;2;1365,771753;0,024884
Aesernia;1.559;2;460,668812;0,011977
Alba Fucentia;4.471;2;1520,58774;0,015696
Bovianum;1.595;2;72,196429;0,012423
Corfinium;1.053;3;1544,948213;0,017999
Larinum;4.653;2;0;0,035707
Reate;673;2;4164,842614;0,036076
Tibur;6.767;2;1954,25199;0,035436
Ancona;5.782;6;4702,871897;0,092213
Atria;6.767;2;97,587261;0,027392
Fanum Fortunae;2.974;3;655,127282;0,037518
Narnia;1.030;2;706,493917;0,014469
Ocriculum;3.085;2;1148,838497;0,035135
Spoletium;2.760;2;431,879878;0,015414
Arretium;8.848;2;159,107021;0,019578
Clusium;3.251;2;297,19658;0,015328
Cosa;1.422;4;8458,71299;0,113663
Florentia;2.601;5;4095,198201;0,052228
Luca;7.376;2;7,687454;0,016161
Luna;2.760;4;4025,982171;0,04542
Pisae;3.937;5;7699,708766;0,069741
Pistorium;788;2;118,912103;0,019831
Roma;923.406;9;12567,97545;0,14134
Volsinii Novi;4.837;2;812,089559;0,035265
Ariminum;5.782;3;811,759673;0,039543
Bononia;7.790;4;1783,333001;0,046068
Faventia;5.477;3;857,975574;0,036978
Mutina;8.633;3;2417,727501;0,03608
Parma;3.937;3;3375,088398;0,036437
Placentia;7.790;5;3233,395804;0,052654
Ravenna;49.652;6;5153,763843;0,080252
Dertona;5.399;2;994,173397;0,01845
Genua;2.290;3;2874,261724;0,03066
Altinum;28.788;4;964,001209;0,040539
Aquileia;19.667;7;23315,01937;0,119574
Concordia;6.244;3;7076,18301;0,046495
Emona;2.770;3;7206,487415;0,044823
Forum Iulii (X Venetia et Histria);1.157;3;3114,640995;0,052916
Patavium;27.923;2;172,272013;0,021698
Pola;2.982;4;178,846925;0,074018
Tergestum;1.559;4;3600,422906;0,077017
Tridentum;1.062;3;7490,138689;0,031099
Verona;8.209;5;5878,493541;0,049043
Comum;3.085;2;2631,702283;0,016828
Mediolanum (Italia (XI Transpadana));20.991;4;3790,99865;0,040776
Ticinum;6.567;5;2682,096245;0,043633
Vercellae;5.399;2;1148,870446;0,019397
Augusta Emerita;14.841;4;1858,241395;0,035163
Conimbriga;2.828;2;4;0,019313
Olisipo;7.376;6;34668,63646;0,099459
Pax Iulia;3.420;2;56,02619;0,031325
Salmantica;6.767;2;223,703728;0,021381
Myra;20.014;4;884,052042;0,122221
Perge;10.608;3;1558,79024;0,035989
Phaselis;2.290;2;144,49412;0,033702
Side;5.399;4;2384,921556;0,077902
Xanthus;3.085;2;1843,739328;0,06622
Amphipolis;65.472;4;1107,162781;0,066698
Beroea (Macedonia);14.111;3;1060,38935;0,031665
Dyrrachium;18.364;4;4823,189342;0,056931
Edessa;37.468;4;2228,658548;0,039347
Heraclea (Macedonia);578;3;11268,27404;0,024596
Pella (Macedonia);19.667;2;6630,085396;0,032938
Philippi;7.999;2;0;0,028752
Stobi;2.334;2;7777,231894;0,015865
Thasos;3.937;2;47,369048;0,037984
Thessalonica;37.159;6;8312,172258;0,13237
Auzia;2.290;2;1611,229294;0,016928
Cuicul;1.157;2;107,864844;0,018797
Iol;37.570;6;4109,598239;0,12875
Saldae;8.951;4;1434,827053;0,067982
Sitifis;6.567;3;176,841116;0,01999
Tubusuctu;5.651;2;724,142939;0,022323
Lixus;2.147;3;337,5;0,037517
Tingis;2.206;6;4316,981055;0,09758
Volubilis;6.368;1;0;0,021214
Histria;1.700;6;6666,656056;0,082551
Novae;42;2;1095,716873;0,018235
Odessus;5.589;3;134,065966;0,022762
Oescus;4.291;4;5948,623357;0,034654
Tomis;6.171;3;183,615567;0,037914
Troesmis;106;3;478,601945;0,02374
Drobeta;9.718;3;457,175523;0,030843
Singidunum;4.837;3;6375,487922;0,039566
Ulpiana;4.653;2;1657,41319;0,017458
Viminacium (1);9.280;4;6304,685223;0,036543
Ovilava;15.332;4;6055,749952;0,04205
Virunum;7.188;4;6709,034637;0,04051
Ammaedara;11.979;2;962,314702;0,025337
Bulla Regia;6.067;2;494,044325;0,076077
Cirta;5.264;4;1939,221671;0,04344
Hippo Regius;9.938;5;1112,700549;0,114139
Lambaesis;12.916;2;917,90459;0,013142
Musti;106;3;2319,042517;0,081732
Rusicada;23.429;4;2628,620575;0,087841
Sicca Veneria;27.923;2;110,592986;0,026335
Thamugadi;7.790;3;1653,643838;0,026327
Theveste;11.517;4;1388,692463;0,029539
Thuburnica;3.937;2;6,295238;0,036827
Aquincum;3.937;3;1118,183978;0,036854
Brigetio;7.999;3;588,207787;0,030972
Cibalae;9.063;3;762,279461;0,038049
Mursa;7.376;6;6068,689832;0,065707
Sirmium;14.111;4;3089,533023;0,04134
